package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.mbjc.ui.search.PreviewRecentSearchesHeader,PreviewRecentSearchesHeader,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.search.PreviewRecentSearchesHeaderEmpty,PreviewRecentSearchesHeaderEmpty,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.search.SearchHistoryListItem,SearchHistoryListItem,1,0,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.search.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.search.SearchHistoryScreen,SearchHistoryScreen,1,1,1,0,0,0,1,0,3,9,
ly.david.mbjc.ui.search.SearchResultsScreen,SearchResultsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.search.SearchScaffold,SearchScaffold,1,1,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.search.SearchScreen,SearchScreen,1,1,1,0,0,0,1,0,2,13,
ly.david.mbjc.ui.series.SeriesScaffold,SeriesScaffold,1,1,1,0,0,0,1,0,2,16,
ly.david.mbjc.ui.series.details.SeriesDetailsScreen,SeriesDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.series.stats.SeriesStatsScreen,SeriesStatsScreen,1,1,1,0,0,0,1,0,2,3,
ly.david.mbjc.ui.work.WorkScaffold,WorkScaffold,1,1,1,0,0,0,1,0,2,16,
ly.david.mbjc.ui.work.details.WorkDetailsScreen,WorkDetailsScreen,1,0,1,0,0,0,0,0,1,2,
ly.david.mbjc.ui.work.details.Preview,Preview,1,1,1,0,0,0,0,0,1,1,
ly.david.mbjc.ui.work.recordings.RecordingsByWorkScreen,RecordingsByWorkScreen,1,1,1,0,0,0,1,0,2,4,
ly.david.mbjc.ui.work.stats.WorkGroupStatsScreen,WorkGroupStatsScreen,1,1,1,0,0,0,1,0,2,3,
