package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
ly.david.musicsearch.shared.feature.details.alias.PreviewAliasListItemEnded,PreviewAliasListItemEnded,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.alias.PreviewAliasesSection,PreviewAliasesSection,1,1,1,0,0,0,0,0,1,1,
ly.david.musicsearch.shared.feature.details.area.AreaDetailsTabUi,AreaDetailsTabUi,1,1,1,0,0,0,0,0,1,3,
ly.david.musicsearch.shared.feature.details.area.AreaSection,AreaSection,1,1,1,0,0,0,0,0,3,1,
ly.david.musicsearch.shared.feature.details.area.AreaUi,AreaUi,1,1,1,0,0,0,0,0,3,6,
ly.david.musicsearch.shared.feature.details.area.AreaUiInternal,AreaUiInternal,1,1,1,0,0,0,1,0,2,23,
ly.david.musicsearch.shared.feature.details.artist.ArtistDetailsTabUi,ArtistDetailsTabUi,1,1,1,0,0,0,1,0,2,2,
ly.david.musicsearch.shared.feature.details.artist.ArtistInformationSection,ArtistInformationSection,1,1,1,0,0,0,0,0,5,2,
ly.david.musicsearch.shared.feature.details.artist.LastListenedListItem,LastListenedListItem,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.details.artist.ArtistUi,ArtistUi,1,1,1,0,0,0,0,0,3,6,
ly.david.musicsearch.shared.feature.details.artist.ArtistUiInternal,ArtistUiInternal,1,1,1,0,0,0,1,0,2,23,
ly.david.musicsearch.shared.feature.details.event.EventDetailsTabUi,EventDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.event.EventUi,EventUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.genre.GenrePresenter.present,present,1,0,0,0,0,0,0,0,1,5,
ly.david.musicsearch.shared.feature.details.genre.GenreUi,GenreUi,1,1,1,0,0,0,0,0,1,5,
ly.david.musicsearch.shared.feature.details.instrument.InstrumentDetailsTabUi,InstrumentDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.instrument.InstrumentUi,InstrumentUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.label.LabelDetailsTabUi,LabelDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.label.LabelUi,LabelUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.place.PlaceDetailsTabUi,PlaceDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.place.PlaceUi,PlaceUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.recording.RecordingDetailsTabUi,RecordingDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.recording.LastListenedListItem,LastListenedListItem,1,1,1,0,0,0,0,0,1,3,
ly.david.musicsearch.shared.feature.details.recording.RecordingUi,RecordingUi,1,1,1,0,0,0,0,0,3,6,
ly.david.musicsearch.shared.feature.details.recording.RecordingUiInternal,RecordingUiInternal,1,1,1,0,0,0,1,0,2,23,
ly.david.musicsearch.shared.feature.details.release.ReleaseDetailsTabUi,ReleaseDetailsTabUi,1,1,1,0,0,0,0,0,1,4,
ly.david.musicsearch.shared.feature.details.release.LastListenedListItem,LastListenedListItem,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.details.release.ReleaseUi,ReleaseUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.release.TracksByReleaseUi,TracksByReleaseUi,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.details.release.TracksByReleaseUi,TracksByReleaseUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.releasegroup.ReleaseGroupDetailsTabUi,ReleaseGroupDetailsTabUi,1,1,1,0,0,0,0,0,1,3,
ly.david.musicsearch.shared.feature.details.releasegroup.ReleaseGroupUi,ReleaseGroupUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.series.SeriesDetailsTabUi,SeriesDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.series.SeriesUi,SeriesUi,1,1,1,0,0,0,0,0,1,24,
ly.david.musicsearch.shared.feature.details.utils.DetailsHorizontalPager,DetailsHorizontalPager,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.details.utils.DetailsPresenter.present,present,1,0,0,0,0,0,0,0,1,22,
ly.david.musicsearch.shared.feature.details.utils.DetailsTabUi,DetailsTabUi,1,1,1,0,0,0,0,0,1,2,
ly.david.musicsearch.shared.feature.details.work.WorkDetailsTabUi,WorkDetailsTabUi,1,1,1,0,0,0,1,0,2,3,
ly.david.musicsearch.shared.feature.details.work.WorkUi,WorkUi,1,1,1,0,0,0,0,0,1,24,
